               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.036401,            0.031953,            0.011929,             0.73407,             0.69242,             0.74337,             0.47409,            0.034026,             0.01879,           0.0077276,            0.004357,            0.004357,            0.004357
                  59,             0.03637,            0.031541,            0.011868,             0.73577,             0.69808,              0.7501,             0.47902,            0.033699,            0.018587,           0.0071899,            0.004258,            0.004258,            0.004258
                  60,            0.036108,            0.031447,             0.01179,             0.74967,             0.68964,              0.7507,             0.48022,             0.03368,            0.018616,           0.0075762,            0.004159,            0.004159,            0.004159
                  61,            0.036154,            0.031334,            0.011752,             0.74081,             0.69404,              0.7482,              0.4773,            0.033765,            0.018643,           0.0076071,             0.00406,             0.00406,             0.00406
                  62,            0.036025,            0.030925,            0.011577,             0.74694,             0.69343,             0.74746,             0.47973,            0.033693,            0.018561,           0.0077011,            0.003961,            0.003961,            0.003961
                  63,            0.035832,            0.031322,            0.011536,             0.73677,             0.69354,              0.7462,             0.47799,            0.033713,            0.018625,           0.0077699,            0.003862,            0.003862,            0.003862
                  64,            0.035834,             0.03137,            0.011654,             0.73507,             0.70885,             0.75049,             0.48181,            0.033506,            0.018597,           0.0073523,            0.003763,            0.003763,            0.003763
                  65,            0.035582,            0.030984,            0.011221,             0.73523,             0.70408,             0.75079,              0.4835,            0.033578,            0.018536,           0.0073523,            0.003664,            0.003664,            0.003664
                  66,            0.035593,            0.030915,            0.011319,             0.74851,             0.70207,             0.75424,             0.48729,            0.033513,            0.018472,           0.0071751,            0.003565,            0.003565,            0.003565
                  67,            0.035378,            0.031187,            0.011081,             0.75526,              0.6899,             0.75124,             0.48568,            0.033619,            0.018545,           0.0073554,            0.003466,            0.003466,            0.003466
                  68,            0.035274,            0.030945,            0.011109,             0.74314,             0.70217,             0.75481,             0.48906,            0.033427,            0.018475,           0.0072059,            0.003367,            0.003367,            0.003367
                  69,            0.035329,            0.030935,            0.010775,              0.7372,              0.7078,             0.75507,             0.48943,             0.03335,            0.018509,            0.007227,            0.003268,            0.003268,            0.003268
                  70,            0.035086,             0.03067,            0.010972,             0.74288,             0.70745,             0.75654,             0.48949,            0.033415,            0.018463,           0.0071896,            0.003169,            0.003169,            0.003169
                  71,            0.035025,            0.030601,            0.010685,             0.74971,             0.69947,             0.75433,             0.48794,            0.033411,            0.018452,            0.007069,             0.00307,             0.00307,             0.00307
                  72,            0.034892,            0.030732,            0.010791,             0.75477,             0.69629,             0.75642,             0.49016,            0.033377,            0.018484,           0.0070843,            0.002971,            0.002971,            0.002971
                  73,            0.034715,            0.030603,            0.010428,              0.7549,             0.69108,             0.75568,             0.49169,            0.033265,             0.01842,           0.0071297,            0.002872,            0.002872,            0.002872
                  74,            0.034783,            0.030648,            0.010557,             0.74826,             0.70358,             0.75739,             0.49198,            0.033303,            0.018421,           0.0072908,            0.002773,            0.002773,            0.002773
                  75,            0.034644,            0.030648,            0.010407,             0.75724,             0.70254,             0.76036,             0.49385,            0.033247,            0.018376,           0.0071448,            0.002674,            0.002674,            0.002674
                  76,            0.034508,            0.030533,            0.010325,              0.7492,             0.70736,             0.75877,             0.49614,            0.033154,            0.018345,           0.0073156,            0.002575,            0.002575,            0.002575
                  77,            0.034335,            0.030472,             0.01022,             0.74212,             0.71078,               0.759,             0.49487,            0.033139,            0.018388,            0.007171,            0.002476,            0.002476,            0.002476
                  78,            0.034201,            0.030059,            0.010071,             0.75695,             0.70231,             0.75929,             0.49448,            0.033163,            0.018393,            0.007163,            0.002377,            0.002377,            0.002377
                  79,            0.034136,            0.029951,           0.0099119,             0.74608,             0.71073,             0.75961,             0.49551,            0.033185,            0.018409,           0.0071949,            0.002278,            0.002278,            0.002278
                  80,            0.033929,            0.030087,           0.0097321,             0.74085,             0.71254,             0.75708,             0.49303,            0.033179,             0.01845,           0.0073248,            0.002179,            0.002179,            0.002179
                  81,            0.034076,            0.030114,           0.0098079,             0.74439,             0.70939,              0.7565,             0.49323,            0.033133,            0.018426,           0.0072945,             0.00208,             0.00208,             0.00208
                  82,              0.0337,             0.02988,           0.0096397,             0.74977,             0.71454,             0.76032,             0.49467,            0.033076,            0.018393,           0.0071941,            0.001981,            0.001981,            0.001981
                  83,            0.033689,            0.029761,            0.009635,             0.74859,             0.71442,              0.7602,             0.49702,            0.033093,            0.018373,           0.0072324,            0.001882,            0.001882,            0.001882
                  84,            0.033711,             0.02985,           0.0094317,             0.74872,             0.71061,             0.75831,             0.49648,             0.03312,            0.018375,            0.007273,            0.001783,            0.001783,            0.001783
                  85,            0.033407,             0.02972,           0.0093641,             0.75171,             0.70713,             0.76112,             0.49765,            0.033127,            0.018379,           0.0073352,            0.001684,            0.001684,            0.001684
                  86,            0.033301,            0.029814,           0.0092103,             0.74551,             0.71186,             0.76088,             0.49826,            0.033116,            0.018408,            0.007423,            0.001585,            0.001585,            0.001585
                  87,            0.033329,            0.029771,           0.0091874,             0.75365,             0.71212,             0.76329,             0.49963,            0.033072,            0.018386,           0.0072827,            0.001486,            0.001486,            0.001486
                  88,            0.033212,            0.029515,           0.0089066,             0.75067,              0.7185,             0.76473,             0.50125,            0.033124,            0.018383,           0.0071557,            0.001387,            0.001387,            0.001387
                  89,            0.033049,             0.02962,           0.0088583,             0.75245,             0.71718,             0.76438,             0.50096,            0.033087,            0.018416,           0.0071641,            0.001288,            0.001288,            0.001288
                  90,            0.032828,            0.029285,           0.0089453,              0.7496,             0.71812,             0.76435,             0.50076,            0.033058,            0.018393,            0.007147,            0.001189,            0.001189,            0.001189
                  91,             0.03287,            0.029477,           0.0086918,             0.75334,             0.71306,             0.76485,             0.50201,            0.033086,            0.018385,            0.007201,             0.00109,             0.00109,             0.00109
                  92,            0.032791,            0.029483,           0.0088026,             0.75688,             0.71049,              0.7648,              0.5027,            0.033093,            0.018384,           0.0072207,            0.000991,            0.000991,            0.000991
                  93,            0.032558,            0.029412,           0.0086293,              0.7613,             0.70738,             0.76506,             0.50373,            0.033088,            0.018381,           0.0072076,            0.000892,            0.000892,            0.000892
                  94,            0.032592,             0.02926,           0.0087042,             0.76377,             0.70815,             0.76546,             0.50413,            0.033094,            0.018386,            0.007137,            0.000793,            0.000793,            0.000793
                  95,            0.032352,            0.028962,           0.0085191,             0.76345,             0.70498,             0.76575,             0.50404,            0.033087,            0.018402,           0.0071354,            0.000694,            0.000694,            0.000694
                  96,            0.032356,            0.028976,           0.0084601,             0.76516,             0.70387,             0.76572,              0.5041,             0.03309,             0.01841,           0.0071028,            0.000595,            0.000595,            0.000595
                  97,            0.032112,            0.028798,           0.0082674,             0.75736,             0.71111,             0.76667,             0.50458,            0.033075,            0.018422,           0.0071272,            0.000496,            0.000496,            0.000496
                  98,            0.032193,            0.028982,           0.0081194,             0.75566,             0.71522,             0.76628,             0.50421,             0.03307,            0.018424,           0.0071777,            0.000397,            0.000397,            0.000397
                  99,            0.032051,            0.029001,           0.0082011,             0.75513,             0.71578,             0.76647,              0.5042,            0.033062,            0.018431,           0.0072057,            0.000298,            0.000298,            0.000298
